Problem,Hindi Original,Categories,Sol,Categories by Llama(English),Acc Choice Eng ,Categories by Llama(Hindi),Acc Choice Hindi ,Prompt for Llama(English),Prompt for Llama(Hindi),Prompt using our categories(English),Prompt using our categories(Hindi),Problems in Eng (Color Code by Llama) after 3 times run,3 times result English,Hindi(Give to Llama3) after 3 times run,3 times result Hindi,,,,,,,
"If 20 lines are drawn in a plane such that no two of them are parallel and no three
are concurrent, in how many points will they intersect each other?"," यदि एक तल में 20 रेखाएँ ऐसी खींची जाएँ कि इनमें से कोई दो समांतर न हों और कोई भी तीन संगामी न हों, तो वे परस्पर कितने बिंदुओं पर प्रतिच्छेद करेंगी?",Combinations,190,Fundamental principle of counting,N,Combinations,Y,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:If 20 lines are drawn in a plane such that no two of them are parallel and no three
are concurrent, in how many points will they intersect each other?","You are expert in solving problems in Combinations Use your expertise to solve the problem: यदि एक तल में 20 रेखाएँ ऐसी खींची जाएँ कि इनमें से कोई दो समांतर न हों और कोई भी तीन संगामी न हों, तो वे परस्पर कितने बिंदुओं पर प्रतिच्छेद करेंगी?","You are expert in solving problems in Combinations Use your expertise to solve the problem:If 20 lines are drawn in a plane such that no two of them are parallel and no three
are concurrent, in how many points will they intersect each other?","You are expert in solving problems in Combinations Use your expertise to solve the problem: यदि एक तल में 20 रेखाएँ ऐसी खींची जाएँ कि इनमें से कोई दो समांतर न हों और कोई भी तीन संगामी न हों, तो वे परस्पर कितने बिंदुओं पर प्रतिच्छेद करेंगी?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: If 20 lines are drawn in a plane such that no two of them are parallel and no three
are concurrent, in how many points will they intersect each other?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: यदि एक तल में 20 रेखाएँ ऐसी खींची जाएँ कि इनमें से कोई दो समांतर न हों और कोई भी तीन संगामी न हों, तो वे परस्पर कितने बिंदुओं पर प्रतिच्छेद करेंगी?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
If all permutations of the letters of the word AGAIN are arranged in the order as in a dictionary. What is the 49th word?," यदि शब्द AGAIN के अक्षरों के सभी क्रमचयों को उसी क्रम में व्यवस्थित किया जाये, जैसे कि एक शब्दकोश में आते हैं, तो 49वाँ शब्द क्या है?",Permutation without restrictions,NAAGI,Permutation without restrictions,Y,Fundamental principle of counting,N,You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem:If all permutations of the letters of the word AGAIN are arranged in the order as in a dictionary. What is the 49th word?,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: यदि शब्द AGAIN के अक्षरों के सभी क्रमचयों को उसी क्रम में व्यवस्थित किया जाये, जैसे कि एक शब्दकोश में आते हैं, तो 49वाँ शब्द क्या है?",You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem:If all permutations of the letters of the word AGAIN are arranged in the order as in a dictionary. What is the 49th word?,"You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem: यदि शब्द AGAIN के अक्षरों के सभी क्रमचयों को उसी क्रम में व्यवस्थित किया जाये, जैसे कि एक शब्दकोश में आते हैं, तो 49वाँ शब्द क्या है?",You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: If all permutations of the letters of the word AGAIN are arranged in the order as in a dictionary. What is the 49th word?,,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: यदि शब्द AGAIN के अक्षरों के सभी क्रमचयों को उसी क्रम में व्यवस्थित किया जाये, जैसे कि एक शब्दकोश में आते हैं, तो 49वाँ शब्द क्या है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"If the different permutations of all the letter of the word EXAMINATION are listed as in a dictionary, how many
words are there in this list before the first word starting with E?"," यदि शब्द EXAMINATION के सभी अक्षरों से बने विभिन्न क्रमचयों को शब्दकोष की तरह
सूचीबद्ध किया जाता है, तो पर से प्रारंभ होने वाले प्रथम शब्द से पूर्व कितने शब्द हैं?",Permutation with restrictions,907200,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:If the different permutations of all the letter of the word EXAMINATION are listed as in a dictionary, how many
words are there in this list before the first word starting with E?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: यदि शब्द EXAMINATION के सभी अक्षरों से बने विभिन्न क्रमचयों को शब्दकोष की तरह
सूचीबद्ध किया जाता है, तो पर से प्रारंभ होने वाले प्रथम शब्द से पूर्व कितने शब्द हैं?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:If the different permutations of all the letter of the word EXAMINATION are listed as in a dictionary, how many
words are there in this list before the first word starting with E?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem: यदि शब्द EXAMINATION के सभी अक्षरों से बने विभिन्न क्रमचयों को शब्दकोष की तरह
सूचीबद्ध किया जाता है, तो पर से प्रारंभ होने वाले प्रथम शब्द से पूर्व कितने शब्द हैं?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: If the different permutations of all the letter of the word EXAMINATION are listed as in a dictionary, how many
words are there in this list before the first word starting with E?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: यदि शब्द EXAMINATION के सभी अक्षरों से बने विभिन्न क्रमचयों को शब्दकोष की तरह
सूचीबद्ध किया जाता है, तो पर से प्रारंभ होने वाले प्रथम शब्द से पूर्व कितने शब्द हैं?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"If the letters of the word RACHIT are arranged in all possible ways as listed in
dictionary. Then what is the rank of the word RACHIT ?"," यदि शब्द RACHIT के अक्षरों को सभी ऐसे संभव प्रकारों से व्यवस्थित किया जाता है, जैसे
वे शब्दकोश में लिखे होते हैं, तब इस व्यवस्था में RACHIT कौन से स्थान पर रहेगा?",Permutation without restrictions,481,Permutation without restrictions.,N,Fundamental principle of counting,N,"You are expert in solving problems in Permutation without restrictions. Use your expertise to solve the problem:If the letters of the word RACHIT are arranged in all possible ways as listed in
dictionary. Then what is the rank of the word RACHIT ?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: यदि शब्द RACHIT के अक्षरों को सभी ऐसे संभव प्रकारों से व्यवस्थित किया जाता है, जैसे
वे शब्दकोश में लिखे होते हैं, तब इस व्यवस्था में RACHIT कौन से स्थान पर रहेगा?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem:If the letters of the word RACHIT are arranged in all possible ways as listed in
dictionary. Then what is the rank of the word RACHIT ?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem: यदि शब्द RACHIT के अक्षरों को सभी ऐसे संभव प्रकारों से व्यवस्थित किया जाता है, जैसे
वे शब्दकोश में लिखे होते हैं, तब इस व्यवस्था में RACHIT कौन से स्थान पर रहेगा?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: If the letters of the word RACHIT are arranged in all possible ways as listed in
dictionary. Then what is the rank of the word RACHIT ?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: यदि शब्द RACHIT के अक्षरों को सभी ऐसे संभव प्रकारों से व्यवस्थित किया जाता है, जैसे
वे शब्दकोश में लिखे होते हैं, तब इस व्यवस्था में RACHIT कौन से स्थान पर रहेगा?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In a certain city, all telephone numbers have six digits, the first two digits always
being 41 or 42 or 46 or 62 or 64. How many telephone numbers have all six digits
distinct?"," किसी शहर में, सभी टेलीफोन नंबर 6 अंकों के हैं; जिनमें प्रथम दो अंक 41 या 42 या 46
या 62 हैं तो कितने टेलीफोन नम्बरों में सभी 6 अंक भिन्न-भिन्न हैं?",Permutation with restrictions,8400,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In a certain city, all telephone numbers have six digits, the first two digits always
being 41 or 42 or 46 or 62 or 64. How many telephone numbers have all six digits
distinct?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: किसी शहर में, सभी टेलीफोन नंबर 6 अंकों के हैं; जिनमें प्रथम दो अंक 41 या 42 या 46
या 62 हैं तो कितने टेलीफोन नम्बरों में सभी 6 अंक भिन्न-भिन्न हैं?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In a certain city, all telephone numbers have six digits, the first two digits always
being 41 or 42 or 46 or 62 or 64. How many telephone numbers have all six digits
distinct?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem: किसी शहर में, सभी टेलीफोन नंबर 6 अंकों के हैं; जिनमें प्रथम दो अंक 41 या 42 या 46
या 62 हैं तो कितने टेलीफोन नम्बरों में सभी 6 अंक भिन्न-भिन्न हैं?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In a certain city, all telephone numbers have six digits, the first two digits always
being 41 or 42 or 46 or 62 or 64. How many telephone numbers have all six digits
distinct?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: किसी शहर में, सभी टेलीफोन नंबर 6 अंकों के हैं; जिनमें प्रथम दो अंक 41 या 42 या 46
या 62 हैं तो कितने टेलीफोन नम्बरों में सभी 6 अंक भिन्न-भिन्न हैं?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In a class, there are 27 boys and 14 girls. The teacher wants to select 1 boy and 1 girl to represent the class for a function. 
In how many ways can the teacher make this selection?"," किसी कक्षा में 27 लड़के और 14 लड़कियाँ हैं। किसी कार्यक्रम के लिए, कक्षा का
प्रतिनिधित्व करने के लिए शिक्षक को 1 लड़के और 1 लड़की का चुनाव करना चाहता है। शिक्षक यह चुनाव कितने प्रकार से कर सकता है?",Combinations,378,Fundamental principle of counting.,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem:In a class, there are 27 boys and 14 girls. The teacher wants to select 1 boy and 1 girl to represent the class for a function. 
In how many ways can the teacher make this selection?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: किसी कक्षा में 27 लड़के और 14 लड़कियाँ हैं। किसी कार्यक्रम के लिए, कक्षा का
प्रतिनिधित्व करने के लिए शिक्षक को 1 लड़के और 1 लड़की का चुनाव करना चाहता है। शिक्षक यह चुनाव कितने प्रकार से कर सकता है?","You are expert in solving problems in Combinations Use your expertise to solve the problem:In a class, there are 27 boys and 14 girls. The teacher wants to select 1 boy and 1 girl to represent the class for a function. 
In how many ways can the teacher make this selection?","You are expert in solving problems in Combinations Use your expertise to solve the problem: किसी कक्षा में 27 लड़के और 14 लड़कियाँ हैं। किसी कार्यक्रम के लिए, कक्षा का
प्रतिनिधित्व करने के लिए शिक्षक को 1 लड़के और 1 लड़की का चुनाव करना चाहता है। शिक्षक यह चुनाव कितने प्रकार से कर सकता है?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In a class, there are 27 boys and 14 girls. The teacher wants to select 1 boy and 1 girl to represent the class for a function. 
In how many ways can the teacher make this selection?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: किसी कक्षा में 27 लड़के और 14 लड़कियाँ हैं। किसी कार्यक्रम के लिए, कक्षा का
प्रतिनिधित्व करने के लिए शिक्षक को 1 लड़के और 1 लड़की का चुनाव करना चाहता है। शिक्षक यह चुनाव कितने प्रकार से कर सकता है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In a football championship, 153 matches were played . Every two teams played
one match with each other. The number of teams, participating in the championship
is?"," एक फुटबॉल चैम्पियनशिप प्रतियोगिता में 153 मैच खेले गये। प्रत्येक दो टीमों ने एक दूसरे के
साथ एक-एक मैच खेला। इस प्रतियोगिता में प्रतिभागी टीमों की संख्या कितनी है?",Combinations,18,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In a football championship, 153 matches were played . Every two teams played
one match with each other. The number of teams, participating in the championship
is?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक फुटबॉल चैम्पियनशिप प्रतियोगिता में 153 मैच खेले गये। प्रत्येक दो टीमों ने एक दूसरे के
साथ एक-एक मैच खेला। इस प्रतियोगिता में प्रतिभागी टीमों की संख्या कितनी है?","You are expert in solving problems in Combinations Use your expertise to solve the problem:In a football championship, 153 matches were played . Every two teams played
one match with each other. The number of teams, participating in the championship
is?","You are expert in solving problems in Combinations Use your expertise to solve the problem: एक फुटबॉल चैम्पियनशिप प्रतियोगिता में 153 मैच खेले गये। प्रत्येक दो टीमों ने एक दूसरे के
साथ एक-एक मैच खेला। इस प्रतियोगिता में प्रतिभागी टीमों की संख्या कितनी है?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In a football championship, 153 matches were played . Every two teams played
one match with each other. The number of teams, participating in the championship
is?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक फुटबॉल चैम्पियनशिप प्रतियोगिता में 153 मैच खेले गये। प्रत्येक दो टीमों ने एक दूसरे के
साथ एक-एक मैच खेला। इस प्रतियोगिता में प्रतिभागी टीमों की संख्या कितनी है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In a steamer there are stalls for 12 animals, and there are horses, cows and
calves (not less than 12 each) ready to be shipped. They can be loaded in how many ways?"," 'एक स्टीमर में 12 पशुओं के लिए अस्तबल है यहाँ घोड़े, गाय और बछड़े (प्रत्येक 12 से कम
नहीं) स्टीमर में चढ़ाने के लिए तैयार हैं। उन्हें कितने प्रकारों से चढ़ाया जा सकता है?",Permutation without restrictions,531441,Fundamental principle of counting,N,Fundamental principle of counting.,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In a steamer there are stalls for 12 animals, and there are horses, cows and
calves (not less than 12 each) ready to be shipped. They can be loaded in how many ways?","You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem: 'एक स्टीमर में 12 पशुओं के लिए अस्तबल है यहाँ घोड़े, गाय और बछड़े (प्रत्येक 12 से कम
नहीं) स्टीमर में चढ़ाने के लिए तैयार हैं। उन्हें कितने प्रकारों से चढ़ाया जा सकता है?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem:In a steamer there are stalls for 12 animals, and there are horses, cows and
calves (not less than 12 each) ready to be shipped. They can be loaded in how many ways?","You are expert in solving problems in Permutation without restrictions Use your expertise to solve the problem: 'एक स्टीमर में 12 पशुओं के लिए अस्तबल है यहाँ घोड़े, गाय और बछड़े (प्रत्येक 12 से कम
नहीं) स्टीमर में चढ़ाने के लिए तैयार हैं। उन्हें कितने प्रकारों से चढ़ाया जा सकता है?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In a steamer there are stalls for 12 animals, and there are horses, cows and
calves (not less than 12 each) ready to be shipped. They can be loaded in how many ways?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 'एक स्टीमर में 12 पशुओं के लिए अस्तबल है यहाँ घोड़े, गाय और बछड़े (प्रत्येक 12 से कम
नहीं) स्टीमर में चढ़ाने के लिए तैयार हैं। उन्हें कितने प्रकारों से चढ़ाया जा सकता है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In an examination there are three multiple choice questions and each question has 4 choices. What is the number of ways in which a 
student can fail to get all answer correct?"," किसी परीक्षा में, तीन बहु-विकल्पीय प्रश्न हैं तथा ऐसे प्रत्येक प्रश्न में चार विकल्प
हैं। उन विधियों की संख्या, जिनसे कोई विद्यार्थी सभी उत्तर सही करने में असफल रहेगा क्या है?",Fundamental principle of counting,63,Fundamental principle of counting.,N,Fundamental principle of counting,Y,"You are expert in solving problems in Fundamental principle of counting. Use your expertise to solve the problem:In an examination there are three multiple choice questions and each question has 4 choices. What is the number of ways in which a 
student can fail to get all answer correct?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: किसी परीक्षा में, तीन बहु-विकल्पीय प्रश्न हैं तथा ऐसे प्रत्येक प्रश्न में चार विकल्प
हैं। उन विधियों की संख्या, जिनसे कोई विद्यार्थी सभी उत्तर सही करने में असफल रहेगा क्या है?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In an examination there are three multiple choice questions and each question has 4 choices. What is the number of ways in which a 
student can fail to get all answer correct?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: किसी परीक्षा में, तीन बहु-विकल्पीय प्रश्न हैं तथा ऐसे प्रत्येक प्रश्न में चार विकल्प
हैं। उन विधियों की संख्या, जिनसे कोई विद्यार्थी सभी उत्तर सही करने में असफल रहेगा क्या है?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In an examination there are three multiple choice questions and each question has 4 choices. What is the number of ways in which a 
student can fail to get all answer correct?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: किसी परीक्षा में, तीन बहु-विकल्पीय प्रश्न हैं तथा ऐसे प्रत्येक प्रश्न में चार विकल्प
हैं। उन विधियों की संख्या, जिनसे कोई विद्यार्थी सभी उत्तर सही करने में असफल रहेगा क्या है?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In an examination, a student has to answer 4 questions out of 5 questions; questions
1 and 2 are however compulsory. Determine the number of ways in which the
student can make the choice."," एक परीक्षा में, एक विद्यार्थी को 5 प्रश्नों में से 4 प्रश्नों के उत्तर देने हैं। परंतु प्रश्न 1 और 2 अनिवार्य है। उन विधियों की संख्या ज्ञात कीजिए जिनसे वह विद्यार्थी उत्तर देने के विकल्प चुन सकता है।",Fundamental principle of counting,3,Fundamental principle of counting,Y,Fundamental principle of counting,Y,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In an examination, a student has to answer 4 questions out of 5 questions; questions
1 and 2 are however compulsory. Determine the number of ways in which the
student can make the choice.","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक परीक्षा में, एक विद्यार्थी को 5 प्रश्नों में से 4 प्रश्नों के उत्तर देने हैं। परंतु प्रश्न 1 और 2 अनिवार्य है। उन विधियों की संख्या ज्ञात कीजिए जिनसे वह विद्यार्थी उत्तर देने के विकल्प चुन सकता है।","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In an examination, a student has to answer 4 questions out of 5 questions; questions
1 and 2 are however compulsory. Determine the number of ways in which the
student can make the choice.","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक परीक्षा में, एक विद्यार्थी को 5 प्रश्नों में से 4 प्रश्नों के उत्तर देने हैं। परंतु प्रश्न 1 और 2 अनिवार्य है। उन विधियों की संख्या ज्ञात कीजिए जिनसे वह विद्यार्थी उत्तर देने के विकल्प चुन सकता है।","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In an examination, a student has to answer 4 questions out of 5 questions; questions
1 and 2 are however compulsory. Determine the number of ways in which the
student can make the choice.",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक परीक्षा में, एक विद्यार्थी को 5 प्रश्नों में से 4 प्रश्नों के उत्तर देने हैं। परंतु प्रश्न 1 और 2 अनिवार्य है। उन विधियों की संख्या ज्ञात कीजिए जिनसे वह विद्यार्थी उत्तर देने के विकल्प चुन सकता है।",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In how many ways 3 mathematics books, 4 history books, 3 chemistry books and 2 biology books can be arranged on a shelf 
so that all books of the same subjects are together?"," एक सेल्फ़ पर 3 गणित, 4 इतिहास, 3 रसायन और 2 जैविकी की पुस्तकें कितने प्रकारों
से व्यवस्थित की जा सकती हैं यदि एक ही विषय की संभी पुस्तकें एक साथ रहें?",Permutation with restrictions,41472,Fundamental principle of counting,N,Fundamental principle of counting,N,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem:In how many ways 3 mathematics books, 4 history books, 3 chemistry books and 2 biology books can be arranged on a shelf 
so that all books of the same subjects are together?","You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: एक सेल्फ़ पर 3 गणित, 4 इतिहास, 3 रसायन और 2 जैविकी की पुस्तकें कितने प्रकारों
से व्यवस्थित की जा सकती हैं यदि एक ही विषय की संभी पुस्तकें एक साथ रहें?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In how many ways 3 mathematics books, 4 history books, 3 chemistry books and 2 biology books can be arranged on a shelf 
so that all books of the same subjects are together?","You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem: एक सेल्फ़ पर 3 गणित, 4 इतिहास, 3 रसायन और 2 जैविकी की पुस्तकें कितने प्रकारों
से व्यवस्थित की जा सकती हैं यदि एक ही विषय की संभी पुस्तकें एक साथ रहें?","You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In how many ways 3 mathematics books, 4 history books, 3 chemistry books and 2 biology books can be arranged on a shelf 
so that all books of the same subjects are together?",,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: एक सेल्फ़ पर 3 गणित, 4 इतिहास, 3 रसायन और 2 जैविकी की पुस्तकें कितने प्रकारों
से व्यवस्थित की जा सकती हैं यदि एक ही विषय की संभी पुस्तकें एक साथ रहें?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
"In how many ways a committee consisting of 3 men and 2 women, can be chosen from 7 men and 5 women?", 7 पुरुष और 5 महिलाओं में से 3 पुरुष और 2 महिलाओं वाली एक कमेटी कितने प्रकार से बनायी जा सकती हैं?,Combinations,350,Combinations,N,Combinations,N,"You are expert in solving problems in Combinations Use your expertise to solve the problem:In how many ways a committee consisting of 3 men and 2 women, can be chosen from 7 men and 5 women?",You are expert in solving problems in Combinations Use your expertise to solve the problem: 7 पुरुष और 5 महिलाओं में से 3 पुरुष और 2 महिलाओं वाली एक कमेटी कितने प्रकार से बनायी जा सकती हैं?,"You are expert in solving problems in Combinations Use your expertise to solve the problem:In how many ways a committee consisting of 3 men and 2 women, can be chosen from 7 men and 5 women?",You are expert in solving problems in Combinations Use your expertise to solve the problem: 7 पुरुष और 5 महिलाओं में से 3 पुरुष और 2 महिलाओं वाली एक कमेटी कितने प्रकार से बनायी जा सकती हैं?,"You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In how many ways a committee consisting of 3 men and 2 women, can be chosen from 7 men and 5 women?",,You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 7 पुरुष और 5 महिलाओं में से 3 पुरुष और 2 महिलाओं वाली एक कमेटी कितने प्रकार से बनायी जा सकती हैं?,,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
In how many ways can 5 children be arranged in a line such that two particular children of them are always together?," 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे सदैव साथ-साथ रहें?",Permutation with restrictions,48,Permutation with restrictions,Y,Fundamental principle of counting,N,You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In how many ways can 5 children be arranged in a line such that two particular children of them are always together?,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे सदैव साथ-साथ रहें?",You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In how many ways can 5 children be arranged in a line such that two particular children of them are always together?,"You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे सदैव साथ-साथ रहें?",You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In how many ways can 5 children be arranged in a line such that two particular children of them are always together?,,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे सदैव साथ-साथ रहें?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
In how many ways can 5 children be arranged in a line such that two particular children of them are never together?," 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे साथ-साथ कभी न रहें?",Permutation with restrictions,72,Permutation with restrictions,Y,Fundamental principle of counting,N,You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In how many ways can 5 children be arranged in a line such that two particular children of them are never together?,"You are expert in solving problems in Fundamental principle of counting Use your expertise to solve the problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे साथ-साथ कभी न रहें?",You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem:In how many ways can 5 children be arranged in a line such that two particular children of them are never together?,"You are expert in solving problems in Permutation with restrictions Use your expertise to solve the problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे साथ-साथ कभी न रहें?",You are an expert in solving mathematics problems on permutations and combinations. Use your expertise to solve this problem: In how many ways can 5 children be arranged in a line such that two particular children of them are never together?,,"You are an expert in understanding Hindi and solving problems in permutations and combinations. Use your expertise to solve this problem: 5 बच्चों को एक पंक्ति में किस प्रकार व्यवस्थित किया जा सकता है, ताकि दो विशेष बच्चे साथ-साथ कभी न रहें?",,,,,,You are expert in solving problems in , Use your expertise to solve the problem:,"Give the final answer in the format of json like {Final Answer: ""Numeric answer""}"
